,user,user_rt,weight,idd
527,Perona10690463,abalosmeco,216,1339604490815680512
528,lanitas2000,anaalonsogonza1,48,1339685644533194752
529,pilarrolu,gomezdcelis,72,1339630908278759432
530,villaragro,cuquemar,406,1339511128536346625
531,Ijezabel,PSOE,415,1339584712772218886
532,drverdad_HLPR,mlalanda,189,1339610851649662977
533,Juanjeprofe,peguiramo,1,1339681158452322304
534,BegFol1,sanchezcastejon,1313,1339587082193260546
535,Txago_2,rakeld12341234,71,1339606182093225987
536,sielia_,sanidadgob,134,1339613665016881155
537,Magdinav,supernova_2020,28,1339624328938332161
538,FuckinPassenger,Camila_RojasV,892,1339622767516397574
539,javialquezar,ramonlobo,742,1339607957810528256
540,CortiMza,elpadrejesus_,65,1339150052003110914
541,VicentGim98M,abalosmeco,216,1339604490815680512
542,AlegraAlonso,patxilopez,174,1339617333543841804
543,pachamamico,Camila_RojasV,892,1339622767516397574
544,antoniovico6,CristinaSegui_,411,1339667170842832902
545,Mdoloresdv,antoniomariamcr,13,1339491682778292225
546,SEBASTI46585263,gpscongreso,99,1339584176517877760
547,nikacerro,diostuitero,541,1339586935594000392
548,MarGR_65,abalosmeco,216,1339604490815680512
549,WorkingInProgr2,juanwohl,5,1339685196535349249
550,mariaIpedraja,vicentetiradopp,23,1339644919003181056
551,yosoynaturaleza,PSOE,415,1339584712772218886
552,anabeldn,abalosmeco,216,1339604490815680512
553,Perona10690463,Juanv_cosin2,29,1339686134771802123
554,Mois213,PaliativosUGR,63,1339603008607293440
555,jdvillarrealpa,isidrocatela,6,1339620945464619009
556,victororellana,Camila_RojasV,892,1339622767516397574
557,anezcas53,jmarques39,2,1339669712310071296
558,_Eskolastika_,juanwohl,5,1339685196535349249
559,socialdemcratas,fabri_davila,14,1339672927881617410
560,sagrariocrespo,PaliativosUGR,63,1339603008607293440
561,jantongo,DulceTatin,1,1339649944001671168
562,Alexgarcia833,sanidadgob,134,1339613665016881155
563,IglesiasPSOE,fabri_davila,14,1339672927881617410
564,martabmiro,salvadorilla,363,1339623840998170624
565,MORECR0SSFlT_0,tabarniaBCN,34,1339677203567656964
566,Zamora_Gob,justiciagob,25,1339600835576139781
567,antitauro,Tomasalo2,1,1339685297727156231
568,DiogoMViegas,sanchezcastejon,1313,1339587082193260546
569,Marita_SF,Camila_RojasV,892,1339622767516397574
570,GolfoLeo,sanidadgob,134,1339613665016881155
571,kaluapiscis,NoInvisibles,22,1339596474066223109
572,AlegraAlonso,gpscongreso,99,1339584176517877760
573,requeteretaired,PDeballon,3,1339626880551497734
574,NamibiaCe,abalosmeco,216,1339604490815680512
575,LunesDeOctubre,sanchezcastejon,1313,1339587082193260546
576,NoemiPAH,anaalonsogonza1,48,1339685644533194752
577,Daniel_nevado25,sanchezcastejon,1313,1339587082193260546
578,cristimartin197,diostuitero,541,1339586935594000392
579,esperafer,PazMompart,2,1339683331378720768
580,MADOLORESRIA,JOSEMANUELSOTO1,802,1339490975681536000
581,Supera_Lo,supernova_2020,34,1339592475065819138
582,JoseJim99412008,salvadorilla,363,1339623840998170624
583,pinyeiro,Ander_Gil,31,1339587645039550471
584,mikihoyos,sanchezcastejon,1313,1339587082193260546
585,amexposito,ramonlobo,742,1339607957810528256
586,pacopilis,tito_morano,188,1339601736797810697
587,InmaculadaLama,rosaromerocr,43,1339565462259200000
588,mitodel,mlalanda,189,1339610851649662977
589,Manuel_ortigosa,CristinaSegui_,411,1339667170842832902
590,AAraujo001,cuquemar,406,1339511128536346625
591,Ociocentez,Camila_RojasV,892,1339622767516397574
592,pinyeiro,PiliCancela,37,1339622421477941249
593,angeljurado666,Jasafella,5,1339604955745890304
594,hague51,abalosmeco,216,1339604490815680512
595,anabeldn,sanchezcastejon,1313,1339587082193260546
596,djcasani,ramonlobo,742,1339607957810528256
597,jqp1972,pardodevera,516,1339584714064056324
598,ElMatuRojas,Camila_RojasV,892,1339622767516397574
599,yosoynaturaleza,sanchezcastejon,1313,1339587082193260546
600,Guadamajud54,CristinaSegui_,411,1339667170842832902
601,SandralvarezCo1,JOSEMANUELSOTO1,802,1339490975681536000
602,ManuelFanMen,rakeld12341234,71,1339606182093225987
603,frikiquark,Virginiapalonso,36,1339645459489550338
604,EstecanoM,sanchezcastejon,1313,1339587082193260546
605,jaimearmario,sanchezcastejon,1313,1339587082193260546
606,salvadorpastorb,PSOE,415,1339584712772218886
607,NELKONR,Camila_RojasV,892,1339622767516397574
608,AlvaroNegrete20,PSOE,415,1339584712772218886
609,otlazpan2,Camila_RojasV,892,1339622767516397574
610,Valeluchy1,gpscongreso,99,1339584176517877760
611,davidmorante01,sanchezcastejon,1313,1339587082193260546
612,diezmaratones,CristinaSegui_,411,1339667170842832902
613,renyez1,Camila_RojasV,892,1339622767516397574
614,joserggp,FRAVM,92,1339599145707827200
615,g_casanov,JOSEMANUELSOTO1,802,1339490975681536000
616,Esquiopequeno,sanchezcastejon,1313,1339587082193260546
617,davidgdelavarga,ramonlobo,742,1339607957810528256
618,JPBargo,salvadorilla,363,1339623840998170624
619,SEBASTI46585263,sanchezcastejon,1313,1339587082193260546
620,NuRiTa_4,pardodevera,516,1339584714064056324
621,Miguel83175987,sanchezcastejon,1313,1339587082193260546
622,_SaraMoreno_,salvadorilla,363,1339623840998170624
623,xduran82,rec_run,3,1339682497618173953
624,Falcata85878588,CristinaSegui_,411,1339667170842832902
625,mariaanmtnez,Ander_Gil,31,1339587645039550471
626,anabelfausti,Conchi_Palencia,108,1339293470117203968
627,_Chfamous,vmoratinos,24,1339582619252445190
628,SionFullana,Plaza_Bickle,3,1339676864730849283
629,bdelat_2,abalosmeco,216,1339604490815680512
630,santiagomiranzo,mundo_mas_justo,8,1339663218139127809
631,CALEMPARTE,vladomirosevic,90,1339597662861942790
632,Khultus,agencia6com,7,1339006565899264000
633,NadiaCalvino,sanchezcastejon,1313,1339587082193260546
634,MaraLibre,Virginiapalonso,36,1339645459489550338
635,saraibas,salvadorilla,363,1339623840998170624
636,cuth9511S,diostuitero,541,1339586935594000392
637,NuryaMartin,pardodevera,516,1339584714064056324
